industry_url,job_title_url,job_title,wage,wage_base,experience_level,percentage_change,salaries,salary_values,respondents,job_rating,job_rating_round,genders,gender_values,gender_respondents
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Docketing_Specialist/Salary,Average Docketing Specialist Salary,"$68,753",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼40%', '▼19%', '▲3%', '▲12%', '▲13%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Total Pay']","['$45k - $88k', '$496 - $3k', '$2k - $5k', '$45k - $89k']",Based on 129 salary profiles (last updated Sep 21 2023),3.4 out of 5,(9),"['Female', 'Male', 'Prefer to self-define']","['77.8%', '17.8%', '4.4%']",This data is based on 45 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Conflicts_Analyst/Salary,Average Conflicts Analyst Salary,"$60,698",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼20%', '▼6%', '▲4%', '▲16%', '▲38%']","['Base Salary', 'Bonus', 'Total Pay']","['$43k - $89k', '$490 - $5k', '$43k - $88k']",Based on 126 salary profiles (last updated Oct 05 2023),4.3 out of 5,(12),"['Female', 'Male']","['70.3%', '29.7%']",This data is based on 37 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Attorney%2C_Government/Salary,"Average Attorney, Government Salary","$97,955",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼44%', '▼21%', '▲10%', '▲31%', '▲40%']","['Base Salary', 'Bonus', 'Total Pay']","['$54k - $168k', '$509 - $18k', '$55k - $167k']",Based on 132 salary profiles (last updated Sep 29 2023),4.4 out of 5,(15),"['Female', 'Male']","['54.8%', '45.2%']",This data is based on 42 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Paralegal_or_Legal_Assistant/Salary,Average Paralegal or Legal Assistant Salary,"$57,579",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼32%', '▼16%', '▲8%', '▲5%', '▲15%']","['Base Salary', 'Bonus', 'Total Pay']","['$39k - $83k', '$515 - $15k', '$34k - $80k']",Based on 132 salary profiles (last updated Oct 16 2023),3.9 out of 5,(15),"['Female', 'Male']","['96.3%', '3.7%']",This data is based on 54 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Legal_Specialist/Salary,Average Legal Specialist Salary,"$73,500",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼32%', '▼14%', '▼2%', '▲10%', '▲10%']","['Base Salary', 'Bonus', 'Total Pay']","['$48k - $101k', '$1k - $11k', '$41k - $101k']",Based on 117 salary profiles (last updated Nov 15 2023),4.1 out of 5,(22),"['Female', 'Male']","['95.7%', '4.3%']",This data is based on 46 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Paralegal_Manager/Salary,Average Paralegal Manager Salary,"$85,522",/ year,"['Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼14%', '▼1%', '▲9%', '▲20%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Total Pay']","['$53k - $136k', '$1k - $17k', '$2k - $16k', '$55k - $151k']",Based on 108 salary profiles (last updated Oct 10 2023),4 out of 5,(14),"['Female', 'Male']","['85.7%', '14.3%']",This data is based on 49 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Legal_Intern/Hourly_Rate,Average Legal Intern Hourly Pay,$19.14,/ hour,"['Entry Level', 'Early Career']","['▼17%', '▼4%']","['Hourly Rate', 'Bonus', 'Total Pay']","['$13 - $28', '$0 - $2k', '$27k - $57k']",Based on 110 salary profiles (last updated Oct 30 2023),,(4),"['Female', 'Male', 'Prefer to self-define']","['57.1%', '40.0%', '2.9%']",This data is based on 35 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Legislative_Assistant/Salary,Average Legislative Assistant Salary,"$44,162",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼14%', '▲2%', '▲15%', '▲10%', '▲41%']","['Base Salary', 'Bonus', 'Total Pay']","['$33k - $63k', '$405 - $6k', '$34k - $63k']",Based on 106 salary profiles (last updated Nov 13 2023),4 out of 5,(14),"['Female', 'Male']","['62.5%', '37.5%']",This data is based on 40 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Paralegal_Assistant/Salary,Average Paralegal Assistant Hourly Pay,$17.31,/ hour,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼7%', '▼2%', '▲5%', '▲50%', '▼100%']","['Hourly Rate', 'Bonus', 'Profit Sharing', 'Total Pay']","['$13 - $27', '$101 - $4k', '$0 - $2k', '$29k - $60k']",Based on 98 salary profiles (last updated May 04 2023),3.6 out of 5,(8),"['Female', 'Male', 'Prefer to self-define']","['83.3%', '13.9%', '2.8%']",This data is based on 36 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Court_Reporter/Salary,Average Court Reporter Salary,"$61,953",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼32%', '▼17%', '▼18%', '▼2%', '▲9%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$35k - $111k', '$25 - $50k', '$0 - $42k', '$0 - $11k', '$36k - $117k']",Based on 94 salary profiles (last updated Nov 05 2023),3.6 out of 5,(14),"['Female', 'Male']","['93.9%', '3.0%']",This data is based on 33 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Junior_Associate_Attorney/Salary,Average Junior Associate Attorney Salary,"$75,600",/ year,"['Entry Level', 'Early Career', 'Mid Career']","['▼3%', '▲1%', '▼14%']","['Base Salary', 'Bonus', 'Total Pay']","['$53k - $109k', '$2k - $14k', '$54k - $113k']",Based on 95 salary profiles (last updated May 01 2023),,(4),"['Female', 'Male']","['67.6%', '32.4%']",This data is based on 37 survey responses. Learn more about the gender pay gap.
