name,displayName,url,profileCount,range,isEstimated
Google Analytics,,/research/US/Job=Analytics_Manager/Salary/78735c2d/Google-Analytics,95,{'50': 91710.19},
Microsoft Power BI,,/research/US/Job=Analytics_Manager/Salary/a0a28738/Microsoft-Power-BI,87,{'50': 102683.72},
Web Analytics,,/research/US/Job=Analytics_Manager/Salary/0fe53edf/Web-Analytics,78,{'50': 99975.31},
R,,/research/US/Job=Analytics_Manager/Salary/4182cddb/R,77,{'50': 102864.17},
Microsoft SQL Server,,/research/US/Job=Analytics_Manager/Salary/83f72521/Microsoft-SQL-Server,72,{'50': 89164.7},
Data Modeling,,/research/US/Job=Analytics_Manager/Salary/e8cc70cd/Data-Modeling,55,{'50': 112795.94},
SAS,,/research/US/Job=Analytics_Manager/Salary/480819f5/SAS,41,{'50': 104451.1},
Strategic Marketing,,/research/US/Job=Analytics_Manager/Salary/6733a40a/Strategic-Marketing,39,{'50': 84007.3},
Machine Learning,,/research/US/Job=Analytics_Manager/Salary/75164b0e/Machine-Learning,38,{'50': 115453.97},
Data Visualization,,/research/US/Job=Analytics_Manager/Salary/da771799/Data-Visualization,24,{'50': 88947.9},
Strategic Planning,,/research/US/Job=Analytics_Manager/Salary/99b869eb/Strategic-Planning,24,{'50': 109926.79},
Alteryx Designer,,/research/US/Job=Analytics_Manager/Salary/f700608f/Alteryx-Designer,20,{'50': 100617.84},
Strategy,,/research/US/Job=Analytics_Manager/Salary/2617e290/Strategy,19,{'50': 92942.72},
SAS (Statistical Analysis System),,/research/US/Job=Analytics_Manager/Salary/5404b413/SAS-Statistical-Analysis-System,18,{'50': 107000},
Salesforce,,/research/US/Job=Analytics_Manager/Salary/9b55c3f0/Salesforce,16,{'50': 74379.24},
Forecasting,,/research/US/Job=Analytics_Manager/Salary/7cf6e3fd/Forecasting,14,{'50': 82939.91},
Financial Modeling,,/research/US/Job=Analytics_Manager/Salary/96dac97a/Financial-Modeling,13,{'50': 110914.67},
Data Management,,/research/US/Job=Analytics_Manager/Salary/e86c862f/Data-Management,12,{'50': 85000},
Product Management,,/research/US/Job=Analytics_Manager/Salary/7541eae7/Product-Management,12,{'50': 95000},
Microsoft Access,,/research/US/Job=Analytics_Manager/Salary/4cccadd2/Microsoft-Access,11,{'50': 82504.33},
SQL Server Integration Services (SSIS),,/research/US/Job=Analytics_Manager/Salary/468ac2f1/SQL-Server-Integration-Services-SSIS,11,{'50': 86000},
Data Mining,,/research/US/Job=Analytics_Manager/Salary/8efdb6cd/Data-Mining,11,{'50': 89906.96},
JavaScript,,/research/US/Job=Analytics_Manager/Salary/22041ecd/JavaScript,10,{'50': 130000},
Financial Analysis,,/research/US/Job=Analytics_Manager/Salary/97c24ce6/Financial-Analysis,9,{'50': 110372.71},
Research Analysis,,/research/US/Job=Analytics_Manager/Salary/9a97c69c/Research-Analysis,9,{'50': 93000},
Microsoft PowerPoint,,/research/US/Job=Analytics_Manager/Salary/03655e84/Microsoft-PowerPoint,8,{'50': 94498.69},
Market Analysis,,/research/US/Job=Analytics_Manager/Salary/134cd613/Market-Analysis,7,{'50': 103592.91},
Looker,,/research/US/Job=Analytics_Manager/Salary/ce9aea99/Looker,7,{'50': 126000},
Google Ad Words,,/research/US/Job=Analytics_Manager/Salary/65fe9212/Google-Ad-Words,7,{'50': 75319.6},
Data Warehouse,,/research/US/Job=Analytics_Manager/Salary/6320c6ef/Data-Warehouse,7,{'50': 82891.57},
Financial Reporting,,/research/US/Job=Analytics_Manager/Salary/e5646eca/Financial-Reporting,7,{'50': 95000},
Digital Marketing,,/research/US/Job=Analytics_Manager/Salary/3dbf21bd/Digital-Marketing,7,{'50': 104963.73},
Client Interaction,,/research/US/Job=Analytics_Manager/Salary/18ff650f/Client-Interaction,7,{'50': 87500},
Artificial Intelligence (AI),,/research/US/Job=Analytics_Manager/Salary/5e82b7f1/Artificial-Intelligence-AI,7,{'50': 132969.92},
Social Media Marketing,,/research/US/Job=Analytics_Manager/Salary/e89f7b54/Social-Media-Marketing,7,{'50': 70348.26},
SPSS,,/research/US/Job=Analytics_Manager/Salary/ff3bf33c/SPSS,7,{'50': 76065.57},
Search Engine Marketing (SEM),,/research/US/Job=Analytics_Manager/Salary/0eb168df/Search-Engine-Marketing-SEM,7,{'50': 87000},
