name,displayName,url,profileCount,range,isEstimated
U.S. Bank,,/research/US/Job=Application_Developer/Salary/8fedefee/U.S.-Bank,11,{'50': 78232.57},
UnitedHealth Group,,/research/US/Job=Application_Developer/Salary/5feb4152/UnitedHealth-Group,11,{'50': 73433.39},
Spectrum Health,,/research/US/Job=Application_Developer/Salary/0b7674b0/Spectrum-Health,10,{'50': 75000},
"OptumHealth, Inc.",,/research/US/Job=Application_Developer/Salary/26ab9b2d/OptumHealth-Inc.,10,{'50': 69677.42},
Nationwide Mutual Insurance Company,,/research/US/Job=Application_Developer/Salary/a1b2ee13/Nationwide-Mutual-Insurance-Company,10,{'50': 60102.71},
"Citigroup, Inc.",,/research/US/Job=Application_Developer/Salary/b3cb2184/Citigroup-Inc.,10,{'50': 80904.29},
IBM Global Services,,/research/US/Job=Application_Developer/Salary/65450b30/IBM-Global-Services,9,{'50': 67500},
First Data Corporation,,/research/US/Job=Application_Developer/Salary/8a99c91d/First-Data-Corporation,9,{'50': 56010.21},
"Highmark, Inc.",,/research/US/Job=Application_Developer/Salary/5b3fa24a/Highmark-Inc.,8,{'50': 67500},
"TRC Companies, Inc.",,/research/US/Job=Application_Developer/Salary/9d2eb8f3/TRC-Companies-Inc.,8,{'50': 51000},
"The PNC Financial Services Group, Inc.",,/research/US/Job=Application_Developer/Salary/fd040b89/The-PNC-Financial-Services-Group-Inc.,8,{'50': 66408.12},
Cigna Corporation,,/research/US/Job=Application_Developer/Salary/f5b9292f/Cigna-Corporation,8,{'50': 80802.47},
OSI Industries LLC,,/research/US/Job=Application_Developer/Salary/a71fc596/OSI-Industries-LLC,8,{'50': 51500},
Mutual of Omaha,,/research/US/Job=Application_Developer/Salary/35e94ebf/Mutual-of-Omaha,8,{'50': 72588.54},
Primerica Financial Services,,/research/US/Job=Application_Developer/Salary/96847e55/Primerica-Financial-Services,7,{'50': 45199.06},
"HDR, Inc.",,/research/US/Job=Application_Developer/Salary/c2ed29e7/HDR-Inc.,7,{'50': 70000},
CGI Federal,,/research/US/Job=Application_Developer/Salary/90180047/CGI-Federal,7,{'50': 56593.9},
Solidifi,,/research/US/Job=Application_Developer/Salary/c37f812a/Solidifi,7,{'50': 70103.29},
The Bank of New York Mellon Corporation (BNY Mellon),,/research/US/Job=Application_Developer/Salary/0d8fc6e7/The-Bank-of-New-York-Mellon-Corporation-BNY-Mellon,7,{'50': 79479.59},
"General Mills, Inc.",,/research/US/Job=Application_Developer/Salary/d17d85b5/General-Mills-Inc.,7,{'50': 67959.7},
University of Michigan (U-M),,/research/US/Job=Application_Developer/Salary/ac521dd1/University-of-Michigan-U-M,7,{'50': 65000},
JE Dunn Construction Company,,/research/US/Job=Application_Developer/Salary/398b6a20/JE-Dunn-Construction-Company,7,{'50': 61390.66},
"Vencore, Inc.",,/research/US/Job=Application_Developer/Salary/2e8c2aac/Vencore-Inc.,7,{'50': 65000},
Computer Sciences Corporation (CSC),,/research/US/Job=Application_Developer/Salary/1fb715cc/Computer-Sciences-Corporation-CSC,6,{'50': 77000},
"Comcast Cable, Inc.",,/research/US/Job=Application_Developer/Salary/56996dae/Comcast-Cable-Inc.,6,{'50': 55288.09},
University of Pennsylvania,,/research/US/Job=Application_Developer/Salary/0be01094/University-of-Pennsylvania,6,{'50': 63125},
"The Hartford Financial Services Group, Inc.",,/research/US/Job=Application_Developer/Salary/54083694/The-Hartford-Financial-Services-Group-Inc.,6,{'50': 60004},
The Lincoln Financial Group,,/research/US/Job=Application_Developer/Salary/29b647ae/The-Lincoln-Financial-Group,6,{'50': 55000},
Amazon.com Inc,,/research/US/Job=Application_Developer/Salary/856b86a2/Amazon.com-Inc,6,{'50': 108000},
"Denim Group,",,/research/US/Job=Application_Developer/Salary/69624e13/Denim-Group,6,{'50': 66500},
JPMorgan Chase & Co.,,/research/US/Job=Application_Developer/Salary/0cc83ae9/JPMorgan-Chase-%26-Co.,6,{'50': 101349.47},
Ingram Micro Inc,,/research/US/Job=Application_Developer/Salary/60197a00/Ingram-Micro-Inc,6,{'50': 62891.02},
Discovery Benefits,,/research/US/Job=Application_Developer/Salary/12a52b8c/Discovery-Benefits,6,{'50': 57500},
Equifax Inc,,/research/US/Job=Application_Developer/Salary/83f510f8/Equifax-Inc,5,{'50': 110000},
Greenheck Fan Corporation,,/research/US/Job=Application_Developer/Salary/13f1bdf4/Greenheck-Fan-Corporation,5,{'50': 51665.13},
Marketaxess Ltd,,/research/US/Job=Application_Developer/Salary/69cd42be/Marketaxess-Ltd,5,{'50': 91562.83},
Farmers Insurance Group,,/research/US/Job=Application_Developer/Salary/76a56737/Farmers-Insurance-Group,5,{'50': 109874.8},
Fiserv Inc,,/research/US/Job=Application_Developer/Salary/f3ddc7c3/Fiserv-Inc,5,{'50': 75000},
Health Care Service Corporation,,/research/US/Job=Application_Developer/Salary/c0947224/Health-Care-Service-Corporation,5,{'50': 72562.36},
American Family Life Assurance Company of Columbus (AFLAC),,/research/US/Job=Application_Developer/Salary/ba22a41b/American-Family-Life-Assurance-Company-of-Columbus-AFLAC,5,{'50': 61674.96},
Argo Data Corporation,,/research/US/Job=Application_Developer/Salary/16a9993f/Argo-Data-Corporation,5,{'50': 67407.41},
Black Knight Financial Services,,/research/US/Job=Application_Developer/Salary/910e8da9/Black-Knight-Financial-Services,5,{'50': 66565.53},
Blue Cross and Blue Shield of Michigan,,/research/US/Job=Application_Developer/Salary/e538d3ce/Blue-Cross-and-Blue-Shield-of-Michigan,5,{'50': 70593.91},
"Booz, Allen, and Hamilton",,/research/US/Job=Application_Developer/Salary/b914543c/Booz-Allen-and-Hamilton,5,{'50': 115000},
Caresource Inc,,/research/US/Job=Application_Developer/Salary/61cd68cc/Caresource-Inc,5,{'50': 90000},
Colorado State Employees Credit Union,,/research/US/Job=Application_Developer/Salary/7f8850dc/Colorado-State-Employees-Credit-Union,5,{'50': 62900},
Chase Bank,,/research/US/Job=Application_Developer/Salary/d3462b81/Chase-Bank,5,{'50': 85918.91},
The ADP Group,,/research/US/Job=Application_Developer/Salary/7d1fdab0/The-ADP-Group,5,{'50': 75000},
