name,displayName,url,profileCount,range,isEstimated
10-19 years,,/research/US/Job=Senior_Cloud_Software_Engineer/Salary/e47d9e24/Experienced,5,{'50': 157500},
5-9 years,,/research/US/Job=Senior_Cloud_Solutions_Architect/Salary/a98756b1/Mid-Career,5,{'50': 150156},
10-19 years,,/research/US/Job=Senior_Cloud_Solutions_Architect/Salary/95b090b4/Experienced,15,{'50': 172936.02},
20 years or more,,/research/US/Job=Senior_Cloud_Solutions_Architect/Salary/b77e6a2f/Late-Career,9,{'50': 177905.19},
5-9 years,,/research/US/Job=Senior_Cloud_Solutions_Engineer/Salary/05ca42fc/Mid-Career,7,{'50': 112500},
10-19 years,,/research/US/Job=Senior_Cloud_Solutions_Engineer/Salary/4afa0af4/Experienced,5,{'50': 115000},
20 years or more,,/research/US/Job=Senior_Cloud_Solutions_Engineer/Salary/567b1be9/Late-Career,5,{'50': 150000},
1-4 years,,/research/US/Job=Senior_Computer_Scientist/Salary/e7427386/Early-Career,11,{'50': 110000},
5-9 years,,/research/US/Job=Senior_Computer_Scientist/Salary/ddf3bc2b/Mid-Career,10,{'50': 162500},
10-19 years,,/research/US/Job=Senior_Computer_Scientist/Salary/ef153835/Experienced,11,{'50': 186830.02},
20 years or more,,/research/US/Job=Senior_Computer_Scientist/Salary/9bd43da8/Late-Career,6,{'50': 162337.22},
1-4 years,,/research/US/Job=Senior_Computer_Specialist/Salary/77ed9d75/Early-Career,8,{'50': 66304},
5-9 years,,/research/US/Job=Senior_Computer_Specialist/Salary/f29979d1/Mid-Career,23,{'50': 58503.11},
10-19 years,,/research/US/Job=Senior_Computer_Specialist/Salary/b0996ea6/Experienced,7,{'50': 80730},
20 years or more,,/research/US/Job=Senior_Computer_Specialist/Hourly_Rate/4478b683/Late-Career,12,{'50': 138000},
1-4 years,,/research/US/Job=Senior_Computer_Technician/Hourly_Rate/4a1afb69/Early-Career,5,{'50': 18.96},
5-9 years,,/research/US/Job=Senior_Computer_Technician/Salary/11f4f489/Mid-Career,7,{'50': 20.95},
10-19 years,,/research/US/Job=Senior_Computer_Technician/Salary/c32724ad/Experienced,7,{'50': 22},
20 years or more,,/research/US/Job=Senior_Computer_Technician/Salary/8a0bafec/Late-Career,8,{'50': 26},
Less than 1 year,,/research/US/Job=Senior_Data_Engineer/Salary/1dc684f4/Entry-Level,6,{'50': 114000},
1-4 years,,/research/US/Job=Senior_Data_Engineer/Salary/1dc684f4/Early-Career,308,{'50': 121863.64},
5-9 years,,/research/US/Job=Senior_Data_Engineer/Salary/b69a3726/Mid-Career,685,{'50': 130791.4},
10-19 years,,/research/US/Job=Senior_Data_Engineer/Salary/1cd2e4bb/Experienced,471,{'50': 133198.53},
20 years or more,,/research/US/Job=Senior_Data_Engineer/Salary/f63b0615/Late-Career,117,{'50': 127614.14},
1-4 years,,/research/US/Job=Senior_Data_Quality_Analyst/Salary/320f4c4a/Early-Career,28,{'50': 76804.73},
