level,experience,job_title,median_salary,profile_count
Mid Level,5-9 years,Information_Technology_(IT)_Manager,83977.96,3296
Senior Level,10-19 years,Information_Technology_(IT)_Manager,97481.57,5447
Executive Level,20 years or more,Information_Technology_(IT)_Manager,103077.33,4467
Entry Level,Less than 1 year,Information_Technology_(IT)_Operations_Manager,73297.44,11
Junior Level,1-4 years,Information_Technology_(IT)_Operations_Manager,81452.2,128
Mid Level,5-9 years,Information_Technology_(IT)_Operations_Manager,88882.47,189
Senior Level,10-19 years,Information_Technology_(IT)_Operations_Manager,102466.42,376
Executive Level,20 years or more,Information_Technology_(IT)_Operations_Manager,106274.36,294
Entry Level,Less than 1 year,Information_Technology_(IT)_Project_Coordinator,48418.85,6
Junior Level,1-4 years,Information_Technology_(IT)_Project_Coordinator,63984.38,27
Mid Level,5-9 years,Information_Technology_(IT)_Project_Coordinator,69529.35,10
Senior Level,10-19 years,Information_Technology_(IT)_Project_Coordinator,63871.29,10
Executive Level,20 years or more,Information_Technology_(IT)_Project_Coordinator,78343.95,10
Entry Level,Less than 1 year,Information_Technology_(IT)_Supervisor,60477.05,9
Junior Level,1-4 years,Information_Technology_(IT)_Supervisor,66301.13,157
Mid Level,5-9 years,Information_Technology_(IT)_Supervisor,70231.47,210
Senior Level,10-19 years,Information_Technology_(IT)_Supervisor,79697.34,251
Executive Level,20 years or more,Information_Technology_(IT)_Supervisor,83590.92,157
Entry Level,Less than 1 year,,45038.06,318
Junior Level,1-4 years,Information_Technology_(IT)_Support_Specialist,50312.76,3294
Mid Level,5-9 years,Information_Technology_(IT)_Support_Specialist,56612.12,1854
Senior Level,10-19 years,Information_Technology_(IT)_Support_Specialist,61837.7,1160
Executive Level,20 years or more,Information_Technology_(IT)_Support_Specialist,66134.6,651
Junior Level,1-4 years,Information_Technology_Officer,52271.21,10
Mid Level,5-9 years,Information_Technology_Officer,59742.3,8
Senior Level,10-19 years,Information_Technology_Officer,64000.0,7
Executive Level,20 years or more,Information_Technology_Officer,85957.13,11
Entry Level,Less than 1 year,Information_Technology_Specialist,49704.04,227
Junior Level,1-4 years,Information_Technology_Specialist,54385.37,2115
Mid Level,5-9 years,Information_Technology_Specialist,62289.61,1473
Senior Level,10-19 years,Information_Technology_Specialist,71833.27,1117
Executive Level,20 years or more,Information_Technology_Specialist,82615.19,649
Entry Level,Less than 1 year,Infrastructure_Analyst,65319.85,16
Junior Level,1-4 years,Infrastructure_Analyst,69068.3,78
Mid Level,5-9 years,Infrastructure_Analyst,71146.47,49
Senior Level,10-19 years,Infrastructure_Analyst,89891.58,41
Executive Level,20 years or more,Infrastructure_Analyst,92835.97,20
Entry Level,Less than 1 year,Instructional_Technologist,43284.59,8
Junior Level,1-4 years,Instructional_Technologist,55055.3,65
Mid Level,5-9 years,Instructional_Technologist,64151.13,58
Senior Level,10-19 years,Instructional_Technologist,63403.19,28
Executive Level,20 years or more,Instructional_Technologist,63984.38,8
Entry Level,Less than 1 year,Instructional_Technology_Specialist,45978.26,5
Junior Level,1-4 years,Instructional_Technology_Specialist,52261.8,50
Mid Level,5-9 years,Instructional_Technology_Specialist,53936.56,41
Senior Level,10-19 years,Instructional_Technology_Specialist,61445.11,28
Executive Level,20 years or more,Instructional_Technology_Specialist,60521.24,10
Entry Level,Less than 1 year,Integrated_Circuit_(IC)_Designer,87776.18,9
Junior Level,1-4 years,Integrated_Circuit_(IC)_Designer,100840.38,13
Mid Level,5-9 years,Integrated_Circuit_(IC)_Designer,118733.61,6
Senior Level,10-19 years,Integrated_Circuit_(IC)_Designer,134498.35,11
Executive Level,20 years or more,Integrated_Circuit_(IC)_Designer,146551.8,6
Junior Level,1-4 years,Integration%2FTest_Manager%2C_Data_Processing_Systems,60678.22,7
Mid Level,5-9 years,Integration%2FTest_Manager%2C_Data_Processing_Systems,82608.05,14
Senior Level,10-19 years,Integration%2FTest_Manager%2C_Data_Processing_Systems,106000.0,7
Executive Level,20 years or more,Integration%2FTest_Manager%2C_Data_Processing_Systems,101736.48,10
Entry Level,Less than 1 year,Interaction_Designer,65527.93,23
Junior Level,1-4 years,Interaction_Designer,79327.21,154
Mid Level,5-9 years,Interaction_Designer,90612.01,77
Senior Level,10-19 years,Interaction_Designer,110982.62,25
Entry Level,Less than 1 year,Interactive_Designer,44491.33,11
Junior Level,1-4 years,Interactive_Designer,64873.93,63
Mid Level,5-9 years,Interactive_Designer,68192.68,58
Senior Level,10-19 years,Interactive_Designer,77699.08,27
Executive Level,20 years or more,Interactive_Designer,79000.0,6
Entry Level,Less than 1 year,Interactive_%2F_Digital_Producer,47757.56,20
Junior Level,1-4 years,Interactive_%2F_Digital_Producer,62306.66,21
Mid Level,5-9 years,Interactive_%2F_Digital_Producer,82186.66,34
Senior Level,10-19 years,Interactive_%2F_Digital_Producer,84444.73,16
Junior Level,1-4 years,Internal_Support_Engineer%2C_IT,57500.0,8
Mid Level,5-9 years,Internal_Support_Engineer%2C_IT,60001.26,9
Junior Level,1-4 years,Internal_Support_Manager%2C_IT,63801.68,5
Mid Level,5-9 years,Internal_Support_Manager%2C_IT,74529.65,13
Senior Level,10-19 years,Internal_Support_Manager%2C_IT,86428.33,12
Executive Level,20 years or more,Internal_Support_Manager%2C_IT,86484.93,11
Entry Level,Less than 1 year,Internet_Marketing_Analyst,40694.59,6
Junior Level,1-4 years,Internet_Marketing_Analyst,48282.04,16
Mid Level,5-9 years,Internet_Marketing_Analyst,63875.0,7
Entry Level,Less than 1 year,iOS_Developer,79795.28,43
Junior Level,1-4 years,iOS_Developer,94313.24,474
Mid Level,5-9 years,iOS_Developer,114098.03,209
Senior Level,10-19 years,iOS_Developer,123809.5,65
Executive Level,20 years or more,iOS_Developer,124210.4,22
Entry Level,Less than 1 year,Java_Developer,65276.53,118
Junior Level,1-4 years,Java_Developer,79140.27,489
Mid Level,5-9 years,Java_Developer,92481.47,334
Senior Level,10-19 years,Java_Developer,109897.16,112
Executive Level,20 years or more,Java_Developer,110125.94,38
Entry Level,Less than 1 year,Java_Programmer,49721.43,12
Junior Level,1-4 years,Java_Programmer,53242.07,23
Mid Level,5-9 years,Java_Programmer,81349.69,5
Senior Level,10-19 years,Java_Programmer,89319.96,11
Executive Level,20 years or more,Java_Programmer,92000.0,5
Entry Level,Less than 1 year,Java_Software_Developer_%2F_Programmer,63973.42,38
Junior Level,1-4 years,Java_Software_Developer_%2F_Programmer,72509.91,127
Mid Level,5-9 years,Java_Software_Developer_%2F_Programmer,91407.86,68
Senior Level,10-19 years,Java_Software_Developer_%2F_Programmer,123808.97,36
Executive Level,20 years or more,Java_Software_Developer_%2F_Programmer,115034.01,16
Entry Level,Less than 1 year,Java_Web_Software_Developer,70000.0,5
Junior Level,1-4 years,Java_Web_Software_Developer,71000.0,11
Mid Level,5-9 years,Java_Web_Software_Developer,65000.0,7
Senior Level,10-19 years,Java_Web_Software_Developer,90000.0,9
Entry Level,Less than 1 year,Junior_Network_Administrator,45978.26,24
Junior Level,1-4 years,Junior_Network_Administrator,48589.27,196
Mid Level,5-9 years,Junior_Network_Administrator,49620.92,120
Senior Level,10-19 years,Junior_Network_Administrator,50159.12,56
Entry Level,Less than 1 year,Junior_SOC_Analyst,58296.5,7
Junior Level,1-4 years,Junior_SOC_Analyst,66661.7,26
Entry Level,Less than 1 year,Junior_Software_Engineer,65686.2,732
Junior Level,1-4 years,Junior_Software_Engineer,67313.06,1621
Mid Level,5-9 years,Junior_Software_Engineer,78678.95,47
Senior Level,10-19 years,Junior_Software_Engineer,83000.0,8
Entry Level,Less than 1 year,Junior_Systems_Administrator,44237.9,32
Junior Level,1-4 years,Junior_Systems_Administrator,44159.01,20
Mid Level,5-9 years,Junior_Systems_Administrator,53849.5,5
Senior Level,10-19 years,Junior_Systems_Administrator,54192.04,15
Entry Level,Less than 1 year,Knowledge_Engineer,65000.0,7
Junior Level,1-4 years,Knowledge_Engineer,67563.44,17
Mid Level,5-9 years,Knowledge_Engineer,79014.27,9
Senior Level,10-19 years,Knowledge_Engineer,81653.5,5
Entry Level,Less than 1 year,Knowledge_Manager,55834.27,5
Junior Level,1-4 years,Knowledge_Manager,77692.96,122
Mid Level,5-9 years,Knowledge_Manager,86773.62,110
Senior Level,10-19 years,Knowledge_Manager,103106.71,118
Executive Level,20 years or more,Knowledge_Manager,103739.93,45
Junior Level,1-4 years,,56830.61,8
Mid Level,5-9 years,LAN_Analyst,62150.0,12
Junior Level,1-4 years,Lead_Applications_Developer,87940.56,19
Mid Level,5-9 years,Lead_Applications_Developer,121425.6,57
Senior Level,10-19 years,Lead_Applications_Developer,119771.65,97
Executive Level,20 years or more,Lead_Applications_Developer,116256.81,64
Junior Level,1-4 years,Lead_Computer_Software_Engineer%2C_Applications,108089.87,7
Mid Level,5-9 years,Lead_Computer_Software_Engineer%2C_Applications,91431.69,5
Senior Level,10-19 years,Lead_Computer_Software_Engineer%2C_Applications,111493.42,18
Executive Level,20 years or more,Lead_Computer_Software_Engineer%2C_Applications,117185.5,7
Junior Level,1-4 years,Lead_Data_Scientist,131825.14,177
Mid Level,5-9 years,Lead_Data_Scientist,147428.12,337
Senior Level,10-19 years,Lead_Data_Scientist,152144.52,138
Executive Level,20 years or more,Lead_Data_Scientist,156687.9,17
Junior Level,1-4 years,Lead_Level_and_Layout_Designer,20.0,6
Mid Level,5-9 years,,22.0,5
Senior Level,10-19 years,Lead_Level_and_Layout_Designer,33.97,5
Executive Level,20 years or more,,35.5,6
Junior Level,1-4 years,Lead_Software_Development_Engineer_(SDE),99399.28,72
Mid Level,5-9 years,Lead_Software_Development_Engineer_(SDE),119085.37,155
Senior Level,10-19 years,Lead_Software_Development_Engineer_(SDE),131106.28,294
Executive Level,20 years or more,Lead_Software_Development_Engineer_(SDE),134358.21,118
Entry Level,Less than 1 year,Lead_Software_Engineer,94335.65,9
Junior Level,1-4 years,Lead_Software_Engineer,105154.6,557
Mid Level,5-9 years,Lead_Software_Engineer,124624.98,1945
Senior Level,10-19 years,Lead_Software_Engineer,133263.48,2387
Executive Level,20 years or more,Lead_Software_Engineer,138253.53,825
Junior Level,1-4 years,Lead_Systems_Analyst,78933.94,38
Mid Level,5-9 years,Lead_Systems_Analyst,91024.76,91
Senior Level,10-19 years,Lead_Systems_Analyst,103112.94,141
Executive Level,20 years or more,Lead_Systems_Analyst,118485.4,55
Junior Level,1-4 years,Lead_Systems_Engineer,91837.27,70
Mid Level,5-9 years,Lead_Systems_Engineer,112896.16,178
Senior Level,10-19 years,Lead_Systems_Engineer,130706.05,202
Executive Level,20 years or more,Lead_Systems_Engineer,132918.64,83
Senior Level,10-19 years,Lead_Tools_Software_Engineer,136500.0,4
Mid Level,5-9 years,Lead_Video_Game_Designer,95000.0,6
Senior Level,10-19 years,Lead_Video_Game_Designer,122500.0,4
Executive Level,20 years or more,Lead_Video_Game_Designer,123500.0,2
Junior Level,1-4 years,Lead_Web_Developer,71072.18,37
Mid Level,5-9 years,Lead_Web_Developer,84301.22,93
Senior Level,10-19 years,Lead_Web_Developer,85986.49,60
Executive Level,20 years or more,Lead_Web_Developer,98272.57,17
Junior Level,1-4 years,,13.2,5
Senior Level,10-19 years,,19.78,7
Executive Level,20 years or more,,23.49,7
Junior Level,1-4 years,Legal_Records_Manager,50980.39,5
Mid Level,5-9 years,Legal_Records_Manager,50562.14,13
Senior Level,10-19 years,Legal_Records_Manager,55557.15,14
Executive Level,20 years or more,Legal_Records_Manager,62500.0,5
Junior Level,1-4 years,Level_Designer,61404.76,35
Mid Level,5-9 years,Level_Designer,64691.47,10
Senior Level,10-19 years,Level_Designer,99500.0,6
Entry Level,Less than 1 year,Linux_System_Administrator,57395.24,34
Junior Level,1-4 years,Linux_System_Administrator,74441.41,232
Mid Level,5-9 years,Linux_System_Administrator,90005.69,228
Senior Level,10-19 years,Linux_System_Administrator,96516.34,171
Executive Level,20 years or more,Linux_System_Administrator,109695.04,86
Entry Level,Less than 1 year,Linux_Systems_Administrator,65001.62,5
Junior Level,1-4 years,Linux_Systems_Administrator,71094.34,55
Mid Level,5-9 years,Linux_Systems_Administrator,87082.26,59
Senior Level,10-19 years,Linux_Systems_Administrator,100482.23,32
Executive Level,20 years or more,Linux_Systems_Administrator,114943.56,26
Senior Level,10-19 years,Lotus_Notes_Developer,90450.0,7
Executive Level,20 years or more,Lotus_Notes_Developer,91000.0,15
Entry Level,Less than 1 year,Mainframe_Systems_Programmer,62857.14,5
Junior Level,1-4 years,Mainframe_Systems_Programmer,65872.01,18
Mid Level,5-9 years,Mainframe_Systems_Programmer,80000.0,5
Senior Level,10-19 years,Mainframe_Systems_Programmer,88509.81,10
Executive Level,20 years or more,Mainframe_Systems_Programmer,122279.75,49
Junior Level,1-4 years,Managed_Services_Manager,76985.0,5
Junior Level,1-4 years,Management_Information_System_Manager,62400.0,7
Mid Level,5-9 years,Management_Information_System_Manager,46750.0,5
Senior Level,10-19 years,Management_Information_System_Manager,65043.0,5
Executive Level,20 years or more,Management_Information_System_Manager,48000.0,3
Junior Level,1-4 years,Manager%2C_Data_Processing,52840.31,10
Mid Level,5-9 years,Manager%2C_Data_Processing,68000.0,25
Senior Level,10-19 years,Manager%2C_Data_Processing,69796.64,33
Executive Level,20 years or more,Manager%2C_Data_Processing,76000.0,20
Junior Level,1-4 years,Mathematical_Modeling_Engineer,87298.52,16
Mid Level,5-9 years,Mathematical_Modeling_Engineer,91642.55,7
Senior Level,10-19 years,Mathematical_Modeling_Engineer,99994.66,5
Entry Level,Less than 1 year,Mathematician,72380.16,29
Junior Level,1-4 years,Mathematician,77484.65,75
Mid Level,5-9 years,Mathematician,96468.64,18
Senior Level,10-19 years,Mathematician,77909.73,17
Executive Level,20 years or more,Mathematician,121129.36,11
Junior Level,1-4 years,,54666.05,8
Mid Level,5-9 years,Medical_Application_Specialist,97500.0,5
Senior Level,10-19 years,Medical_Application_Specialist,69500.0,9
Executive Level,20 years or more,Medical_Application_Specialist,73395.1,6
Entry Level,Less than 1 year,Member_of_Technical_Staff%2C_Applied_Researcher,102936.32,16
Junior Level,1-4 years,Member_of_Technical_Staff%2C_Applied_Researcher,113101.4,86
Mid Level,5-9 years,Member_of_Technical_Staff%2C_Applied_Researcher,127258.03,33
Senior Level,10-19 years,Member_of_Technical_Staff%2C_Applied_Researcher,138943.25,35
Executive Level,20 years or more,Member_of_Technical_Staff%2C_Applied_Researcher,150675.94,22
Entry Level,Less than 1 year,Microsoft_Exchange_Administrator,60533.46,5
Junior Level,1-4 years,Microsoft_Exchange_Administrator,75376.83,27
Mid Level,5-9 years,Microsoft_Exchange_Administrator,75720.4,14
Senior Level,10-19 years,Microsoft_Exchange_Administrator,84588.42,21
Executive Level,20 years or more,Microsoft_Exchange_Administrator,119664.37,11
Entry Level,Less than 1 year,Mobile_Applications_Developer,65999.29,37
Junior Level,1-4 years,Mobile_Applications_Developer,76052.57,197
Mid Level,5-9 years,Mobile_Applications_Developer,101318.01,81
Senior Level,10-19 years,Mobile_Applications_Developer,120253.29,21
Executive Level,20 years or more,Mobile_Applications_Developer,128500.0,12
Entry Level,Less than 1 year,Mobile_Engineer,75665.8,6
Junior Level,1-4 years,Mobile_Engineer,96777.57,74
Mid Level,5-9 years,Mobile_Engineer,118200.45,46
Senior Level,10-19 years,Mobile_Engineer,118481.01,26
Executive Level,20 years or more,,66442.19,30
Junior Level,1-4 years,,17.95,12
Mid Level,5-9 years,Module_Lead,21.16,10
Senior Level,10-19 years,Module_Lead,32.0,11
Executive Level,20 years or more,,21.36,6
Junior Level,1-4 years,Multimedia_Developer,46907.8,21
Mid Level,5-9 years,Multimedia_Developer,67410.56,35
Senior Level,10-19 years,Multimedia_Developer,75303.02,11
Executive Level,20 years or more,Multimedia_Developer,69180.81,8
Junior Level,1-4 years,Multimedia_Programmer,21.95,6
Mid Level,5-9 years,,20.51,5
Entry Level,Less than 1 year,.NET_Software_Developer_%2F_Programmer,57855.23,67
Junior Level,1-4 years,.NET_Software_Developer_%2F_Programmer,68804.85,665
Mid Level,5-9 years,.NET_Software_Developer_%2F_Programmer,88610.37,439
Senior Level,10-19 years,.NET_Software_Developer_%2F_Programmer,99504.9,262
Executive Level,20 years or more,.NET_Software_Developer_%2F_Programmer,104138.54,102
Entry Level,Less than 1 year,Network_Administrator,52263.46,86
Junior Level,1-4 years,Network_Administrator,59012.98,1299
Mid Level,5-9 years,Network_Administrator,65921.13,1152
Senior Level,10-19 years,Network_Administrator,71199.56,955
Executive Level,20 years or more,Network_Administrator,77318.41,397
Mid Level,5-9 years,Network_Administrator%2C_Data_Center,64000.0,5
Entry Level,Less than 1 year,Network_Administrator%2C_IT,50089.17,54
Junior Level,1-4 years,Network_Administrator%2C_IT,57783.73,389
Mid Level,5-9 years,Network_Administrator%2C_IT,64227.58,328
Senior Level,10-19 years,Network_Administrator%2C_IT,71162.79,224
Executive Level,20 years or more,Network_Administrator%2C_IT,73004.81,153
Junior Level,1-4 years,Network_Administrator%2C_LAN,58778.67,11
Mid Level,5-9 years,Network_Administrator%2C_LAN,50166.61,16
Senior Level,10-19 years,Network_Administrator%2C_LAN,68400.0,5
Executive Level,20 years or more,Network_Administrator%2C_LAN,74514.68,10
Entry Level,Less than 1 year,Network_Administrator%2C_LAN_%2F_WAN,48795.75,5
Junior Level,1-4 years,Network_Administrator%2C_LAN_%2F_WAN,72588.54,20
Mid Level,5-9 years,Network_Administrator%2C_LAN_%2F_WAN,75498.92,19
Senior Level,10-19 years,Network_Administrator%2C_LAN_%2F_WAN,70173.08,11
Executive Level,20 years or more,Network_Administrator%2C_LAN_%2F_WAN,93000.0,10
Entry Level,Less than 1 year,Network_Analyst,55244.32,34
Junior Level,1-4 years,Network_Analyst,59265.31,199
Mid Level,5-9 years,Network_Analyst,67724.65,142
Senior Level,10-19 years,Network_Analyst,69451.24,62
Executive Level,20 years or more,Network_Analyst,65177.59,54
Entry Level,Less than 1 year,Network_Architect,70000.0,5
Junior Level,1-4 years,Network_Architect,96714.02,31
Mid Level,5-9 years,Network_Architect,115874.17,80
Senior Level,10-19 years,Network_Architect,129133.19,172
Executive Level,20 years or more,Network_Architect,136653.77,138
Junior Level,1-4 years,Network_Control_Technician,50376.24,5
Junior Level,1-4 years,Network%2FData_Communications_Manager,50000.0,8
Mid Level,5-9 years,Network%2FData_Communications_Manager,80959.17,16
Senior Level,10-19 years,Network%2FData_Communications_Manager,89955.56,8
Executive Level,20 years or more,Network%2FData_Communications_Manager,128084.93,18
Entry Level,Less than 1 year,Network_Engineer,64153.9,208
Junior Level,1-4 years,Network_Engineer,73016.41,2102
Mid Level,5-9 years,Network_Engineer,82616.41,1973
Senior Level,10-19 years,Network_Engineer,92033.96,1347
Executive Level,20 years or more,Network_Engineer,97762.85,723
Entry Level,Less than 1 year,Network_Engineer%2C_IT,59955.79,10
Junior Level,1-4 years,Network_Engineer%2C_IT,69850.73,59
Mid Level,5-9 years,Network_Engineer%2C_IT,81533.25,62
Senior Level,10-19 years,Network_Engineer%2C_IT,96532.83,49
Executive Level,20 years or more,Network_Engineer%2C_IT,102781.97,34
Mid Level,5-9 years,Network_Engineering_Director,100000.0,5
Senior Level,10-19 years,Network_Engineering_Director,135126.87,12
Executive Level,20 years or more,Network_Engineering_Director,155368.66,9
Entry Level,Less than 1 year,Network_Manager,66226.42,6
Junior Level,1-4 years,Network_Manager,75239.02,49
Mid Level,5-9 years,Network_Manager,81724.92,74
Senior Level,10-19 years,Network_Manager,101629.45,147
Executive Level,20 years or more,Network_Manager,104644.14,144
Entry Level,Less than 1 year,Network_Operations_Center_(NOC)_Engineer,53445.64,23
Junior Level,1-4 years,Network_Operations_Center_(NOC)_Engineer,56810.26,170
Mid Level,5-9 years,Network_Operations_Center_(NOC)_Engineer,72215.9,101
Senior Level,10-19 years,Network_Operations_Center_(NOC)_Engineer,73149.24,59
Executive Level,20 years or more,Network_Operations_Center_(NOC)_Engineer,81578.52,24
Entry Level,Less than 1 year,,19.74,60
Junior Level,1-4 years,,21.71,319
Mid Level,5-9 years,,25.01,121
Senior Level,10-19 years,,29.54,82
Executive Level,20 years or more,,26.65,28
Entry Level,Less than 1 year,Network_Operations_Manager,67152.71,19
Junior Level,1-4 years,Network_Operations_Manager,76258.11,22
Mid Level,5-9 years,Network_Operations_Manager,79988.58,44
Senior Level,10-19 years,Network_Operations_Manager,105565.34,67
Executive Level,20 years or more,Network_Operations_Manager,114991.67,50
Entry Level,Less than 1 year,Network_Operations_Specialist,20.36,5
Junior Level,1-4 years,Network_Operations_Specialist,22.0,11
Mid Level,5-9 years,Network_Operations_Specialist,27.62,6
Senior Level,10-19 years,Network_Operations_Specialist,42.0,8
Entry Level,Less than 1 year,,19.35,10
Junior Level,1-4 years,,18.66,31
Mid Level,5-9 years,,22.0,12
Senior Level,10-19 years,,25.0,7
Executive Level,20 years or more,,30.43,4
Entry Level,Less than 1 year,Network_Security_Analyst,65984.85,13
Junior Level,1-4 years,Network_Security_Analyst,74238.08,78
Mid Level,5-9 years,Network_Security_Analyst,91549.39,29
Senior Level,10-19 years,Network_Security_Analyst,96888.75,22
Executive Level,20 years or more,Network_Security_Analyst,95000.0,11
Entry Level,Less than 1 year,Network_Security_Engineer,76114.52,24
Junior Level,1-4 years,Network_Security_Engineer,86094.62,211
Mid Level,5-9 years,Network_Security_Engineer,99617.85,218
Senior Level,10-19 years,Network_Security_Engineer,114200.74,136
Executive Level,20 years or more,Network_Security_Engineer,123844.33,78
Entry Level,Less than 1 year,Network_Specialist,51272.11,14
Junior Level,1-4 years,Network_Specialist,55831.68,126
Mid Level,5-9 years,Network_Specialist,64264.54,101
Senior Level,10-19 years,Network_Specialist,66126.69,62
Executive Level,20 years or more,Network_Specialist,79059.29,38
Entry Level,Less than 1 year,Network_Support_Engineer,60629.26,12
Junior Level,1-4 years,Network_Support_Engineer,63230.61,60
Mid Level,5-9 years,Network_Support_Engineer,73225.81,27
Senior Level,10-19 years,Network_Support_Engineer,81855.86,22
Executive Level,20 years or more,Network_Support_Engineer,67000.0,8
Entry Level,Less than 1 year,Network_%2F_System_Administrator%2C_General_Office,45000.0,5
Junior Level,1-4 years,Network_%2F_System_Administrator%2C_General_Office,59162.74,43
Mid Level,5-9 years,Network_%2F_System_Administrator%2C_General_Office,63768.17,49
Senior Level,10-19 years,Network_%2F_System_Administrator%2C_General_Office,66225.02,36
Executive Level,20 years or more,Network_%2F_System_Administrator%2C_General_Office,72441.0,20
Junior Level,1-4 years,Network_Systems_%2F_Data_Communications_Analyst,57391.3,18
Mid Level,5-9 years,Network_Systems_%2F_Data_Communications_Analyst,64863.57,12
Senior Level,10-19 years,Network_Systems_%2F_Data_Communications_Analyst,73900.0,10
Executive Level,20 years or more,Network_Systems_%2F_Data_Communications_Analyst,64875.0,7
Entry Level,Less than 1 year,,17.52,172
Junior Level,1-4 years,,20.71,1296
Mid Level,5-9 years,Network_Technician,25.23,872
Senior Level,10-19 years,,28.68,560
Executive Level,20 years or more,,32.38,424
Entry Level,Less than 1 year,,18.56,23
Junior Level,1-4 years,,22.38,70
Mid Level,5-9 years,Network_Technician%2C_IT,23.36,56
Senior Level,10-19 years,Network_Technician%2C_IT,28.14,29
Executive Level,20 years or more,,32.08,18
Entry Level,Less than 1 year,,53457.42,26
Junior Level,1-4 years,Network_%26_Computer_Systems_Administrator_Assistant,47777.59,35
Mid Level,5-9 years,Network_%26_Computer_Systems_Administrator_Assistant,45296.55,18
Senior Level,10-19 years,Network_%26_Computer_Systems_Administrator_Assistant,52780.0,20
Executive Level,20 years or more,Network_%26_Computer_Systems_Administrator_Assistant,50000.0,5
Entry Level,Less than 1 year,Network_%26_Computer_Systems_Administrator_%2F_Systems_Programmer,53829.32,5
Junior Level,1-4 years,Network_%26_Computer_Systems_Administrator_%2F_Systems_Programmer,57985.32,47
Mid Level,5-9 years,Network_%26_Computer_Systems_Administrator_%2F_Systems_Programmer,73176.45,50
Senior Level,10-19 years,Network_%26_Computer_Systems_Administrator_%2F_Systems_Programmer,78508.61,41
Executive Level,20 years or more,Network_%26_Computer_Systems_Administrator_%2F_Systems_Programmer,96702.57,35
Junior Level,1-4 years,,32.81,8
Mid Level,5-9 years,,31.1,12
Senior Level,10-19 years,,37.57,5
Executive Level,20 years or more,Nurse_Auditor,31.86,14
Junior Level,1-4 years,Nursing_Informatics_Analyst,83632.04,16
Mid Level,5-9 years,Nursing_Informatics_Analyst,86000.0,6
Senior Level,10-19 years,Nursing_Informatics_Analyst,72413.79,6
Executive Level,20 years or more,Nursing_Informatics_Analyst,84000.0,5
Mid Level,5-9 years,Nursing_Informatics_Director,108418.78,6
Senior Level,10-19 years,Nursing_Informatics_Director,116458.19,11
Executive Level,20 years or more,Nursing_Informatics_Director,85963.85,3
Mid Level,5-9 years,Nursing_Informatics_Manager,117395.74,3
Senior Level,10-19 years,Nursing_Informatics_Manager,115000.0,5
Executive Level,20 years or more,,,5
Junior Level,1-4 years,Nursing_Informatics_Specialist,81348.95,25
Mid Level,5-9 years,Nursing_Informatics_Specialist,85752.21,16
Senior Level,10-19 years,Nursing_Informatics_Specialist,88329.02,15
Executive Level,20 years or more,Nursing_Informatics_Specialist,107437.5,6
Junior Level,1-4 years,Online_Communications_Associate,38145.92,14
Mid Level,5-9 years,Online_Communications_Associate,47932.34,5
Junior Level,1-4 years,Online_Communications_Strategist,59321.78,5
Mid Level,5-9 years,Online_Communications_Strategist,66128.71,10
Senior Level,10-19 years,Online_Communications_Strategist,72211.66,5
Junior Level,1-4 years,Online_Marketing_Client_Relations_Coordinator,40000.0,5
Junior Level,1-4 years,Online_Marketing_Data_Analyst,68467.15,5
Junior Level,1-4 years,Online_Project_Manager,57500.0,5
Junior Level,1-4 years,Ontologist,100000.0,13
Mid Level,5-9 years,Ontologist,95790.0,6
Junior Level,1-4 years,Operating_Systems_Programmer,72000.0,5
Entry Level,Less than 1 year,Operations_Analyst,56533.43,384
Junior Level,1-4 years,Operations_Analyst,61241.55,2836
Mid Level,5-9 years,Operations_Analyst,67997.49,874
Senior Level,10-19 years,Operations_Analyst,69141.41,445
Executive Level,20 years or more,Operations_Analyst,76703.49,177
Junior Level,1-4 years,,16.55,14
Mid Level,5-9 years,,21.03,17
Senior Level,10-19 years,,24.49,7
Entry Level,Less than 1 year,Operations%2FData_Analyst,60129.87,13
Junior Level,1-4 years,Operations%2FData_Analyst,65007.43,193
Mid Level,5-9 years,Operations%2FData_Analyst,69530.1,68
Senior Level,10-19 years,Operations%2FData_Analyst,72616.64,23
Executive Level,20 years or more,Operations%2FData_Analyst,69919.27,13
Junior Level,1-4 years,Operations_Research_Manager,73478.11,17
Mid Level,5-9 years,Operations_Research_Manager,75195.65,20
Senior Level,10-19 years,Operations_Research_Manager,92000.0,16
Executive Level,20 years or more,Operations_Research_Manager,85000.0,6
Junior Level,1-4 years,Operations_Research_Supervisor,67000.0,5
Mid Level,5-9 years,Operations_Research_Supervisor,57500.0,3
Entry Level,Less than 1 year,Operations%2FSystems_Analyst,65126.91,9
Junior Level,1-4 years,Operations%2FSystems_Analyst,68261.47,77
Mid Level,5-9 years,Operations%2FSystems_Analyst,79104.14,28
Senior Level,10-19 years,Operations%2FSystems_Analyst,71056.62,32
Executive Level,20 years or more,Operations%2FSystems_Analyst,83473.05,23
Entry Level,Less than 1 year,Oracle_Database_Administrator_(DBA),64351.89,15
Junior Level,1-4 years,Oracle_Database_Administrator_(DBA),77978.2,110
Mid Level,5-9 years,Oracle_Database_Administrator_(DBA),99870.7,119
Senior Level,10-19 years,Oracle_Database_Administrator_(DBA),115841.44,118
Executive Level,20 years or more,Oracle_Database_Administrator_(DBA),123319.73,90
Entry Level,Less than 1 year,Oracle_Developer,52402.34,7
Junior Level,1-4 years,Oracle_Developer,76588.74,40
