name,job_title,median_salary,profile_count
Kindred Healthcare,,,5
Bank of America Corp. (BOFA),,120000.0,5
"Aetna, Inc.",Application_Support_Analyst,57625.89,5
"Dell, Inc.",Application_Support_Analyst,50000.0,5
Deutsche Bank,Application_Support_Analyst,80000.0,5
Dignity Health,Application_Support_Analyst,78571.43,5
Trapeze Group,Application_Support_Analyst,59900.0,5
WellStar Health System,Application_Support_Analyst,73538.84,5
"Qad, Inc.",,,5
Rensselaer Polytechnic Institute (RPI),Application_Support_Analyst,56837.29,5
Sanford Health,Application_Support_Analyst,53512.63,5
Sedgwick County,,,5
Sutter Health,Application_Support_Analyst,90472.8,5
McKesson Corp.,Application_Support_Analyst,74000.0,4
Partners Healthcare Inc,Application_Support_Analyst,71000.0,3
Principal Financial Group,Applications_Analyst%2C_Software,66819.19,7
Sutter Health,,95000.0,7
WellStar Health System,Applications_Analyst%2C_Software,72000.0,7
Accenture,Applications_Analyst%2C_Software,57000.0,5
Cone Health,Applications_Analyst%2C_Software,73469.39,5
Deaconess Hospital,Applications_Analyst%2C_Software,48412.0,5
Bank of America Corp. (BOFA),Applications_Development_Manager,130725.19,6
Black Knight Financial Services,Applications_Development_Manager,137568.93,5
Citibank,Applications_Development_Manager,104000.0,5
J.P. Morgan Chase & Co. (JPMCC),Applications_Development_Manager,115500.0,5
Accenture,Applications_Development_Manager,118783.73,5
Polycom Inc.,Applications_Development_Manager%2C_Computer_Software,136483.52,5
Maxim Integrated Products Inc,Applications_Engineer,80677.88,31
"Texas Instruments, Inc.",Applications_Engineer,94501.53,25
"Microchip Technology, Inc",Applications_Engineer,80969.71,22
Analog Devices Inc,Applications_Engineer,95000.0,17
Baker Hughes Inc,Applications_Engineer,99542.36,17
Flowserve Corporation,Applications_Engineer,75174.31,17
Cadence Design Systems Inc.,Applications_Engineer,127742.57,16
"Westech Engineering, Inc.",Applications_Engineer,56740.09,16
National Instruments Corporation,Applications_Engineer,67102.95,15
"Motion Industries, Inc.",Applications_Engineer,69942.86,14
Xylem Inc.,Applications_Engineer,75000.0,13
The Trane Company,Applications_Engineer,72211.66,13
Quicken Loans,Applications_Engineer,73214.29,11
Schneider Electric Ltd,Applications_Engineer,69798.77,11
"FLIR Systems, Inc.",Applications_Engineer,74496.64,11
Novaspect,Applications_Engineer,84754.29,10
Advantest,Applications_Engineer,85896.04,10
Eaton Corporation,Applications_Engineer,75249.17,10
Emerson Electric Co,Applications_Engineer,69176.9,10
"Methods Machine Tools, Inc.",,102500.0,10
Extron Electronics,Applications_Engineer,66056.48,9
General Electric Co (GE),Applications_Engineer,78659.68,9
"Gentek, Inc.",Applications_Engineer,54998.26,8
"Donaldson Co., Inc.",Applications_Engineer,83490.74,8
Endress+Hauser Mangement AG,Applications_Engineer,79984.86,8
"Cummins, Inc.",Applications_Engineer,68676.0,8
AFL Telecommunications LLC,Applications_Engineer,66570.95,8
ASML Lithography,Applications_Engineer,89887.29,8
Carl Zeiss,Applications_Engineer,55955.06,8
New England Controls,Applications_Engineer,81182.27,8
Johnson Controls Inc,Applications_Engineer,74324.34,8
"Jasco, Inc.",Applications_Engineer,71215.54,8
Keysight Technologies,Applications_Engineer,111649.94,8
Kla-Tencor Corporation,Applications_Engineer,111051.58,8
NXP Semiconductors Inc.,Applications_Engineer,85975.6,8
Syserco,Applications_Engineer,76710.1,8
"Thermo Fisher Scientific, Inc.",Applications_Engineer,90000.0,8
Wells Fargo & Co.,Applications_Engineer,91000.0,7
"Synopsys, Inc",Applications_Engineer,104257.95,7
SPX Corporation,Applications_Engineer,73952.82,7
"Marvell Semiconductor, Inc.",Applications_Engineer,124800.0,7
Evoqua Water Technologies,Applications_Engineer,75000.0,7
Grundfos Corporation,Applications_Engineer,67960.6,7
Greenheck Fan Corporation,Applications_Engineer,69500.0,6
Esys The Energy Control Company,,,6
Autoliv Inc.,Applications_Engineer,64964.07,6
Campbell Scientific,Applications_Engineer,57210.42,6
"Altec Industries, Inc.",Applications_Engineer,60000.0,6
Amazon.com Inc,Applications_Engineer,100000.0,6
Applied Materials Inc,Applications_Engineer,80000.0,6
Lockheed Martin Corp,Applications_Engineer,66741.79,6
"Morrell, Inc.",Applications_Engineer,64000.0,6
Megger,Applications_Engineer,87004.87,6
Mubea,Applications_Engineer,75000.0,6
"Nike, Inc.",Applications_Engineer,80904.29,6
Intel Corporation,Applications_Engineer,97435.9,6
Henkel Corporation,Applications_Engineer,83833.0,6
"Hexagon Metrology, Inc.",Applications_Engineer,70000.0,6
Hubbell Inc,Applications_Engineer,70468.2,6
"Humana, Inc.",Applications_Engineer,65184.11,6
Saint-Gobain Corporation,Applications_Engineer,85937.17,6
Schenck,Applications_Engineer,62211.0,6
Pentair,Applications_Engineer,66128.71,6
"SKF USA, Inc.",Applications_Engineer,62167.69,6
"TEKsystems, Inc",,,6
Thrivent Financial For Lutherans,Applications_Engineer,59000.0,6
Trelleborg Sealing Solutions,Applications_Engineer,79500.1,6
"Trumpf, Inc.",Applications_Engineer,75182.72,6
TCF Bank,Applications_Engineer,85375.0,5
The Vanguard Group,Applications_Engineer,78480.61,5
Quality Vision International,Applications_Engineer,45715.94,5
Robert Bosch LLC,Applications_Engineer,77611.41,5
ON Semiconductor,Applications_Engineer,85850.0,5
Oracle,Applications_Engineer,105000.0,5
NSK Corporation,Applications_Engineer,78642.28,5
Schlumberger,Applications_Engineer,80000.0,5
Siemens,Applications_Engineer,117916.22,5
"Steelcase, Inc.",Applications_Engineer,71756.06,5
"Stratasys, Inc.",Applications_Engineer,83750.0,5
Swagelok Company,Applications_Engineer,68205.13,5
Infineon Technologies Inc.,Applications_Engineer,97500.0,5
Instron Ltd,Applications_Engineer,85089.5,5
Honeywell Aerospace,Applications_Engineer,75000.0,5
Hospital Corporation of America,Applications_Engineer,61925.0,5
John Zink,Applications_Engineer,87996.97,5
Legrand North America,Applications_Engineer,60718.78,5
"Linde Gas, LLC",Applications_Engineer,84000.0,5
LitePoint,Applications_Engineer,86259.23,5
Lockheed Martin Aeronautics Company,Applications_Engineer,70893.0,5
Nidec Corporation,Applications_Engineer,68017.05,5
JTEKT Corporation,Applications_Engineer,80972.13,5
ACTIA,Applications_Engineer,61906.02,5
Ansys Incorporated,Applications_Engineer,98500.0,5
Cohu,Applications_Engineer,81000.0,5
Computer Aided Technology,Applications_Engineer,70000.0,5
Crane Co,Applications_Engineer,77419.35,5
Exa Corporation,Applications_Engineer,80000.0,5
Danfoss,Applications_Engineer,70000.0,5
"HCA, Inc.",Applications_Engineer,77000.0,5
Fulcrum,Applications_Engineer,62500.0,5
General Electric (GE) Energy,Applications_Engineer,76302.36,5
North Atlantic Industries,Applications_Engineer,70000.0,4
AVL North America,Applications_Engineer,75000.0,3
The Schaeffler Group,Applications_Engineer,79000.0,3
NovaTech Process Solutions,Applications_Engineer,60610.0,2
Northrop Grumman Corporation,Applications_Engineer%2C_Electrical,81765.7,6
"Denso International America, Inc.",Applications_Engineer%2C_Electrical,59850.0,5
Schneider Electric Ltd,Applications_Engineer%2C_Electrical,64046.96,3
General Electric Co (GE),Applications_Engineering_Manager,102500.0,7
Honeywell International Inc,Applications_Engineering_Manager,105857.85,6
Baker Hughes Inc,Applications_Engineering_Manager,100990.1,5
Bank of America Corp. (BOFA),,109926.79,10
Kentucky Farm Bureau,Applications_Programmer,87000.0,6
"University of California, San Diego (UCSD)",Applications_Programmer,55950.0,6
Wells Fargo & Co.,Applications_Programmer,66405.0,5
Black Knight Financial Services,Applications_Programmer,96600.0,5
University of Maryland Medical System,Applications_Systems_Analyst,68529.27,12
Kaiser Permanente,Applications_Systems_Analyst,97000.0,11
Dignity Health,Applications_Systems_Analyst,79804.48,6
Geico,Applications_Systems_Analyst,65000.0,6
Sutter Health,Applications_Systems_Analyst,85000.0,6
University of Utah,Applications_Systems_Analyst,80739.43,6
Henry Ford Community College,Applications_Systems_Analyst,43134.09,6
Tampa General Hospital,Applications_Systems_Analyst,74000.0,5
Hackensack Medical Center,,95000.0,5
M. D. Anderson Cancer Center,Applications_Systems_Analyst,61190.0,5
Northwell Health,Applications_Systems_Analyst,62464.0,5
OSF St. Francis Hospital,Applications_Systems_Analyst,51599.2,5
Scriptpro LLC,,,5
Blue Cross and Blue Shield of Alabama,Applications_Systems_Analyst%2FProgrammer,69255.09,9
Henry Ford Community College,Applications_Systems_Analyst%2FProgrammer,43785.0,5
Bank of America Corp. (BOFA),Applications_Systems_Analyst%2FProgrammer,90000.0,5
Amazon.com Inc,Applications_Systems_and_Program_Manager,104963.73,7
"The Mathworks, Inc.",Applications_and_Support_Engineer,95928.2,8
Siemens,Applications_and_Support_Engineer,80463.81,5
National Multiple Sclerosis (MS) Society,Applications_and_Support_Engineer,62760.0,5
Intel Corporation,Architect_(Computer_Software%2C_Hardware),123000.0,19
Nvidia Corp,Architect_(Computer_Software%2C_Hardware),146353.72,6
"Apple Computer, Inc",Architect_(Computer_Software%2C_Hardware),168000.0,5
International Business Machines (IBM) Corp.,Architect_(Computer_Software%2C_Hardware),125020.18,5
National Registry of EMTs,Associate_Data_Scientist,70328.18,6
"Biomerieux, Inc.",Associate_Data_Scientist,61041.89,5
Filament Games,Associate_Producer%2C_Computer_Game_Applications,40000.0,6
Lockheed Martin Corp,Associate_Software_Engineer,76374.49,77
Northrop Grumman Corporation,Associate_Software_Engineer,75410.52,63
J.P. Morgan Chase & Co. (JPMCC),Associate_Software_Engineer,115734.84,62
"T-Mobile, Inc.",Associate_Software_Engineer,84818.22,33
Fidelity Investments,Associate_Software_Engineer,66714.76,31
"The Hartford Financial Services Group, Inc.",Associate_Software_Engineer,72616.64,29
InfoSys Limited,Associate_Software_Engineer,57324.51,22
JPMorgan Chase & Co.,Associate_Software_Engineer,112030.76,19
Relias Learning,Associate_Software_Engineer,62400.0,16
The Northwestern Mutual Life Insurance Company,Associate_Software_Engineer,71665.54,15
The Walt Disney Company,Associate_Software_Engineer,100382.72,15
Quicken Loans,Associate_Software_Engineer,66658.01,14
Capital One Financial Corp,Associate_Software_Engineer,96744.73,14
Collins Aerospace,Associate_Software_Engineer,77018.74,14
"The Travelers Companies, Inc.",Associate_Software_Engineer,78088.62,12
"Bentley Systems, Incorporated",Associate_Software_Engineer,66198.33,11
Greenway Health,Associate_Software_Engineer,50874.53,11
Lockheed Martin Aeronautics Company,Associate_Software_Engineer,74384.23,11
Robert Bosch LLC,Associate_Software_Engineer,65750.14,11
"REI Systems, Inc.",Associate_Software_Engineer,67774.37,10
"Charles Schwab & Co., Inc.",Associate_Software_Engineer,72413.79,10
"The Goldman Sachs Group, Inc.",Associate_Software_Engineer,105600.0,10
Accenture,Associate_Software_Engineer,46589.46,9
Ad Astra Information Systems,Associate_Software_Engineer,64000.0,9
"Illumina, Inc.",Associate_Software_Engineer,78500.0,9
"Red Hat, Inc.",Associate_Software_Engineer,77880.02,9
MasterCard Worldwide,Associate_Software_Engineer,70000.0,9
