state,city,job_title,median_salary,profile_count
 California,Sunnyvale,Android_Software_Developer,130000.0,5
 North Carolina,Charlotte,Android_Software_Developer,103605.21,5
 North Carolina,Durham,Android_Software_Developer,85000.0,5
 New York,Brooklyn,Android_Software_Developer,91414.86,5
 Michigan,Ann Arbor,Android_Software_Developer,62500.0,5
 Virginia,Charlottesville,Android_Software_Developer,90632.86,5
 Virginia,Reston,Android_Software_Developer,104963.96,5
 Virginia,Richmond,Android_Software_Developer,88820.22,5
 Texas,Plano,Android_Software_Developer,129715.57,5
 Texas,San Antonio,Android_Software_Developer,91000.0,5
 Maryland,Baltimore,Android_Software_Developer,55000.0,3
 California,San Francisco,Android_Software_Engineer,137842.63,21
 Illinois,Chicago,Android_Software_Engineer,91679.44,14
 New York,New York,Android_Software_Engineer,97435.9,6
 Texas,Austin,Android_Software_Engineer,85865.49,6
 Washington,Seattle,Android_Software_Engineer,110527.16,6
 California,Los Angeles,Android_Software_Engineer,65000.0,5
 Minnesota,Minneapolis,Application_Architect,117188.46,14
 Ohio,Cincinnati,Application_Architect,108089.87,12
 Georgia,Atlanta,Application_Architect,136707.44,12
 Arizona,Phoenix,Application_Architect,79345.91,10
 Pennsylvania,Pittsburgh,Application_Architect,112628.19,10
 Texas,Houston,Application_Architect,100703.89,10
 Indiana,Indianapolis,Application_Architect,110907.05,8
 Kentucky,Louisville,Application_Architect,113991.23,7
 Pennsylvania,Philadelphia,Application_Architect,117916.22,7
 Tennessee,Nashville,Application_Architect,131500.0,6
 Texas,Austin,,119010.48,6
 Texas,Dallas,Application_Architect,120000.0,6
 Wisconsin,Milwaukee,Application_Architect,121740.15,6
 North Carolina,Raleigh,Application_Architect,125000.0,6
 Illinois,Chicago,Application_Architect,102500.0,6
 California,Los Angeles,Application_Architect,139147.64,6
 Connecticut,Hartford,Application_Architect,127450.98,6
 District of Columbia,Washington,Application_Architect,117500.0,5
 California,Irvine,Application_Architect,106823.31,5
 Florida,Jacksonville,Application_Architect,113335.32,5
 Colorado,Denver,Application_Architect,175000.0,5
 Michigan,Troy,Application_Architect,113500.0,5
 New York,New York,Application_Architect,115000.0,5
 New York,Rock Hill,Application_Architect,65000.0,5
 North Carolina,Charlotte,Application_Architect,105000.0,5
 Massachusetts,Boston,Application_Architect,145000.0,5
 Virginia,Richmond,Application_Architect,105680.62,5
 Virginia,Reston,Application_Architect,140000.0,4
 Missouri,Kansas City,Application_Architect,96500.0,4
 Missouri,St. Louis,Application_Architect,124800.0,4
 California,San Diego,Application_Architect,120000.0,4
 California,San Francisco,Application_Architect,138500.0,4
 Georgia,Alpharetta,Application_Architect,125778.95,3
 Louisiana,New Orleans,Application_Architect,73000.0,3
 Ohio,Columbus,Application_Architect,107578.72,3
 Oklahoma,Tulsa,Application_Architect,89924.15,3
 Washington,Seattle,Application_Architect,130179.76,3
 Wisconsin,Madison,Application_Architect,114782.61,3
 Wisconsin,Stevens Point,Application_Architect,86249.28,2
 Texas,Plano,Application_Architect,110000.0,2
 Maryland,Rockville,Application_Architect,128000.0,2
 Nebraska,Omaha,Application_Architect,98838.38,2
 New Jersey,Princeton,Application_Architect,112497.78,2
 New York,Albany,Application_Architect,101379.31,2
 Michigan,Detroit,Application_Architect,108000.0,2
 Michigan,Lansing,Application_Architect,87500.0,2
 Michigan,Traverse City,Application_Architect,81000.0,2
 Florida,Miami,Application_Architect,110000.0,2
 Florida,Tampa,Application_Architect,120000.0,2
 Iowa,Iowa City,Application_Architect,66250.0,2
 Florida,Coral Springs,Application_Architect,111000.0,2
 Florida,Fort Lauderdale,Application_Architect,112000.0,2
 Illinois,Chicago,Application_Developer,74568.13,71
 Minnesota,Minneapolis,Application_Developer,79991.79,62
 New York,New York,Application_Developer,92152.42,52
