name,job_title,median_salary,profile_count
Software Development,Android_Software_Developer,81447.99,10
SQL,Android_Software_Developer,80000.0,8
Software Architecture,Android_Software_Developer,108500.0,8
JSON,Android_Software_Developer,68467.15,8
Git,Android_Software_Developer,,6
iOS,Android_Software_Developer,82500.0,6
Objective-C,Android_Software_Developer,66000.0,5
REST,Android_Software_Developer,82722.96,5
Swift Programming Language,Android_Software_Developer,123600.0,5
Android Software Development Kit (SDK),Android_Software_Engineer,96655.74,69
Kotlin Programming Language,Android_Software_Engineer,108357.45,69
Mobile applications development,Android_Software_Engineer,110874.05,61
Java,Android_Software_Engineer,94756.17,45
Android Operating System Development,Android_Software_Engineer,96476.68,33
Agile Software Development,Android_Software_Engineer,90000.0,9
iOS,Android_Software_Engineer,152012.23,9
RESTful Web Services,Android_Software_Engineer,90606.86,8
C++ Programming Language,Android_Software_Engineer,110000.0,5
Software Architecture,Application_Architect,127138.13,161
Software Development,Application_Architect,124486.07,83
SQL,Application_Architect,115434.75,67
Enterprise Application Integration,Application_Architect,128108.58,62
.NET,Application_Architect,121727.15,46
Cloud Computing,Application_Architect,139020.22,27
C# Programming Language,Application_Architect,117378.13,25
Java/J2EE,Application_Architect,129146.15,23
Service Oriented Architecture (SOA),Application_Architect,121225.0,11
Java,Application_Architect,119010.48,10
JavaScript,Application_Architect,136771.12,10
Agile Software Development,Application_Architect,121448.56,8
Amazon Web Services (AWS),Application_Architect,107290.23,8
Angular.js,Application_Architect,102341.79,7
Microsoft Azure,Application_Architect,108133.93,6
Microsoft SQL Server,Application_Architect,108244.8,6
Model-view-controller (MVC),Application_Architect,106823.31,5
RESTful Web Services,Application_Architect,130000.0,5
Data Warehouse,Application_Architect,124775.11,5
Web Development,Application_Architect,95864.68,5
ASP.NET Framework,Application_Architect,107441.86,5
Windows Communication Foundation (WCF),Application_Architect,104963.73,3
SQL,Application_Developer,75088.15,1132
C# Programming Language,Application_Developer,74137.32,805
JavaScript,Application_Developer,72843.69,776
.NET,Application_Developer,74272.72,550
Java,Application_Developer,74393.73,472
Microsoft SQL Server,Application_Developer,77063.04,334
Python,Application_Developer,75981.24,210
Java/J2EE,Application_Developer,71142.33,167
